
# Cruise perf for 75% power
# Descent TAS = 175 kt
# 8 USG or 45 min Reserve Fuel
# Wheel pants ON
#Range  Alt
# (nm)  (ft)
475.4     0
477.3   500
477.9  1000
478.2  1500
478.8  2000
482.4  2500
482.5  3000
483.0  3500
483.6  4000
483.9  4500
484.3  5000
484.8  5500
485.1  6000
485.6  6500
486.1  7000
486.5  7500
486.3  8000
##################



# Cruise perf for 65% power
# Descent TAS = 165 kt
# 8 USG or 45 min Reserve Fuel
# Wheel pants ON
#Range  Alt
# (nm)  (ft)
620.3     0
621.6   500
621.8  1000
621.8  1500
622.3  2000
625.6  2500
625.6  3000
625.6  3500
625.8  4000
625.8  4500
625.8  5000
625.7  5500
625.8  6000
625.9  6500
625.8  7000
625.9  7500
554.3  8000
555.1  8500
555.9  9000
556.6  9500
557.3 10000
557.9 10500
558.4 11000
558.7 11500
558.2 12000
##################



# Cruise perf for 55% power
# Descent TAS = 155 kt
# 8 USG or 45 min Reserve Fuel
# Wheel pants ON
#Range  Alt
# (nm)  (ft)
675.5     0
678.2   500
680.8  1000
683.5  1500
686.2  2000
688.9  2500
691.7  3000
694.4  3500
697.2  4000
700.0  4500
702.8  5000
705.2  5500
705.1  6000
704.6  6500
704.6  7000
704.9  7500
704.7  8000
704.5  8500
704.1  9000
703.6  9500
702.9 10000
702.1 10500
701.4 11000
700.2 11500
698.7 12000
622.1 12500
621.8 13000
621.5 13500
621.2 14000
621.1 14500
621.0 15000
620.5 15500
619.2 16000
617.9 16500
##################



# Cruise perf for 45% power
# Descent TAS = 145 kt
# 8 USG or 45 min Reserve Fuel
# Wheel pants ON
#Range  Alt
# (nm)  (ft)
739.5     0
742.3   500
745.1  1000
748.0  1500
750.9  2000
753.7  2500
756.6  3000
759.5  3500
762.4  4000
765.4  4500
768.3  5000
771.3  5500
774.2  6000
777.2  6500
780.1  7000
783.1  7500
786.0  8000
789.0  8500
792.0  9000
794.9  9500
797.8 10000
800.8 10500
801.0 11000
799.0 11500
796.7 12000
794.7 12500
792.0 13000
789.6 13500
787.2 14000
784.7 14500
782.4 15000
780.1 15500
777.9 16000
775.0 16500
770.7 17000
687.9 17500
686.4 18000
684.1 18500
682.4 19000
680.9 19500
679.3 20000
##################



# Cruise perf for 35% power
# Descent TAS = 130 kt
# 8 USG or 45 min Reserve Fuel
# Wheel pants ON
#Range  Alt
# (nm)  (ft)
794.1     0
797.1   500
800.1  1000
803.2  1500
806.2  2000
809.3  2500
812.3  3000
815.4  3500
818.5  4000
821.6  4500
824.7  5000
827.7  5500
830.8  6000
833.9  6500
837.0  7000
840.0  7500
843.1  8000
846.1  8500
849.2  9000
852.2  9500
855.2 10000
858.2 10500
861.1 11000
864.1 11500
866.9 12000
869.8 12500
872.6 13000
875.3 13500
878.0 14000
880.7 14500
883.2 15000
885.7 15500
888.0 16000
890.3 16500
890.5 17000
885.4 17500
880.2 18000
873.0 18500
865.6 19000
858.7 19500
853.1 20000
