# Cruise perf for 75% power
# Descent TAS = 170 kt
# 8 USG or 45 min Reserve Fuel
# Wheel pants OFF
#Range  Alt
# (nm)  (ft)
463.3     0
465.5   500
466.2  1000
466.8  1500
467.6  2000
468.8  2500
472.2  3000
472.6  3500
473.3  4000
473.9  4500
474.4  5000
475.0  5500
475.7  6000
476.3  6500
477.0  7000
477.7  7500
478.3  8000
##################



# Cruise perf for 65% power
# Descent TAS = 160 kt
# 8 USG or 45 min Reserve Fuel
# Wheel pants OFF
#Range  Alt
# (nm)  (ft)
604.6     0
606.1   500
606.4  1000
606.7  1500
607.5  2000
608.5  2500
611.6  3000
611.8  3500
612.1  4000
612.2  4500
612.4  5000
612.7  5500
612.8  6000
613.2  6500
613.5  7000
613.8  7500
613.9  8000
544.9  8500
545.9  9000
546.9  9500
547.8 10000
548.6 10500
549.4 11000
549.8 11500
549.8 12000
##################



# Cruise perf for 55% power
# Descent TAS = 150 kt
# 8 USG or 45 min Reserve Fuel
# Wheel pants OFF
#Range  Alt
# (nm)  (ft)
658.7     0
661.5   500
664.3  1000
667.2  1500
670.0  2000
672.9  2500
675.8  3000
678.7  3500
681.7  4000
684.6  4500
687.6  5000
690.4  5500
690.2  6000
690.1  6500
690.3  7000
690.7  7500
690.8  8000
690.9  8500
690.7  9000
690.5  9500
689.9 10000
689.5 10500
689.1 11000
688.3 11500
687.1 12000
612.2 12500
612.2 13000
612.0 13500
611.9 14000
612.0 14500
612.1 15000
612.2 15500
611.1 16000
610.1 16500
##################



# Cruise perf for 45% power
# Descent TAS = 140 kt
# 8 USG or 45 min Reserve Fuel
# Wheel pants OFF
#Range  Alt
# (nm)  (ft)
721.4     0
724.4   500
727.3  1000
730.4  1500
733.4  2000
736.4  2500
739.5  3000
742.5  3500
745.6  4000
748.7  4500
751.7  5000
754.8  5500
757.9  6000
761.0  6500
764.1  7000
767.2  7500
770.4  8000
773.5  8500
776.5  9000
779.6  9500
782.7 10000
785.8 10500
786.2 11000
784.4 11500
782.4 12000
780.6 12500
778.4 13000
776.1 13500
774.1 14000
771.9 14500
769.8 15000
767.9 15500
765.8 16000
763.2 16500
759.4 17000
678.3 17500
677.0 18000
675.6 18500
673.6 19000
672.4 19500
671.0 20000
##################



# Cruise perf for 35% power
# Descent TAS = 125 kt
# 8 USG or 45 min Reserve Fuel
# Wheel pants OFF
#Range  Alt
# (nm)  (ft)
775.3     0
778.5   500
781.6  1000
784.8  1500
788.0  2000
791.1  2500
794.3  3000
797.5  3500
800.7  4000
803.9  4500
807.1  5000
810.3  5500
813.5  6000
816.7  6500
819.9  7000
823.1  7500
826.2  8000
829.4  8500
832.5  9000
835.7  9500
838.8 10000
841.9 10500
844.9 11000
847.9 11500
850.9 12000
853.9 12500
856.8 13000
859.6 13500
862.4 14000
865.2 14500
867.8 15000
870.4 15500
872.9 16000
875.2 16500
875.4 17000
870.6 17500
865.7 18000
860.1 18500
852.1 19000
845.7 19500
840.4 20000

