
# TAS for 2100 rpm at wide open throttle and ROP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
163.89  2500
163.37  3000
162.98  3500
162.69  4000
162.42  4500
162.17  5000
161.87  5500
161.61  6000
161.35  6500
161.10  7000
160.85  7500
160.58  8000
160.33  8500
160.08  9000
159.82  9500
159.56 10000
159.13 10500
158.82 11000
158.50 11500
158.18 12000
157.85 12500
157.42 13000
157.05 13500
156.68 14000
156.31 14500
155.92 15000
155.44 15500
155.00 16000
154.56 16500
154.11 17000
153.65 17500
153.18 18000
152.53 18500
151.97 19000
151.41 19500
150.82 20000
150.22 20500
149.60 21000
148.96 21500
148.05 22000
147.30 22500
146.51 23000
145.70 23500
144.84 24000
143.96 24500
143.03 25000
#=============================



# TAS for 2250 rpm at wide open throttle and ROP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
168.36  2500
167.93  3000
167.59  3500
167.33  4000
167.09  4500
166.86  5000
166.65  5500
166.36  6000
166.12  6500
165.89  7000
165.66  7500
165.35  8000
165.09  8500
164.83  9000
164.57  9500
164.31 10000
163.94 10500
163.64 11000
163.34 11500
163.04 12000
162.73 12500
162.32 13000
161.97 13500
161.62 14000
161.26 14500
160.90 15000
160.46 15500
160.06 16000
159.65 16500
159.23 17000
158.81 17500
158.37 18000
157.74 18500
157.22 19000
156.69 19500
156.15 20000
155.59 20500
155.01 21000
154.42 21500
153.58 22000
152.88 22500
152.15 23000
151.41 23500
150.63 24000
149.82 24500
148.98 25000
#=============================



# TAS for 2400 rpm at wide open throttle and ROP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
172.41  2500
172.31  3000
172.12  3500
171.95  4000
171.78  4500
171.60  5000
171.43  5500
171.19  6000
170.99  6500
170.79  7000
170.59  7500
170.23  8000
169.97  8500
169.71  9000
169.45  9500
169.19 10000
168.88 10500
168.60 11000
168.32 11500
168.04 12000
167.75 12500
167.36 13000
167.04 13500
166.71 14000
166.37 14500
166.03 15000
165.63 15500
165.26 16000
164.89 16500
164.50 17000
164.11 17500
163.71 18000
163.10 18500
162.62 19000
162.13 19500
161.62 20000
161.10 20500
160.57 21000
160.02 21500
159.23 22000
158.59 22500
157.92 23000
157.23 23500
156.52 24000
155.78 24500
155.02 25000
#=============================



# TAS for 2550 rpm at wide open throttle and ROP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
176.90  2500
176.83  3000
176.71  3500
176.52  4000
176.37  4500
176.21  5000
176.06  5500
175.87  6000
175.70  6500
175.53  7000
175.37  7500
174.96  8000
174.70  8500
174.45  9000
174.20  9500
173.94 10000
173.71 10500
173.46 11000
173.21 11500
172.96 12000
172.71 12500
172.35 13000
172.07 13500
171.77 14000
171.48 14500
171.18 15000
170.84 15500
170.51 16000
170.19 16500
169.86 17000
169.52 17500
169.18 18000
168.83 18500
168.19 19000
167.76 19500
167.32 20000
166.86 20500
166.40 21000
165.92 21500
165.21 22000
164.65 22500
164.07 23000
163.47 23500
162.86 24000
162.22 24500
161.57 25000
#=============================



# TAS for 2700 rpm at wide open throttle and ROP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
180.76  2500
180.71  3000
180.59  3500
180.40  4000
180.25  4500
180.09  5000
179.94  5500
179.77  6000
179.61  6500
179.45  7000
179.29  7500
178.82  8000
178.54  8500
178.27  9000
178.00  9500
177.72 10000
177.54 10500
177.29 11000
177.04 11500
176.79 12000
176.54 12500
176.19 13000
175.90 13500
175.61 14000
175.32 14500
175.03 15000
174.73 15500
174.39 16000
174.07 16500
173.75 17000
173.43 17500
173.10 18000
172.76 18500
172.11 19000
171.69 19500
171.25 20000
170.81 20500
170.35 21000
169.89 21500
169.19 22000
168.64 22500
168.07 23000
167.49 23500
166.89 24000
166.28 24500
165.64 25000
#=============================



# TAS for 2100 rpm at wide open throttle and LOP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
155.46  2500
154.98  3000
154.58  3500
154.27  4000
153.98  4500
153.71  5000
153.37  5500
153.09  6000
152.80  6500
152.52  7000
152.24  7500
151.94  8000
151.65  8500
151.35  9000
151.05  9500
150.64 10000
150.28 10500
149.92 11000
149.56 11500
149.18 12000
148.81 12500
148.31 13000
147.89 13500
147.47 14000
147.02 14500
146.56 15000
146.01 15500
145.50 16000
144.99 16500
144.45 17000
143.90 17500
143.34 18000
142.57 18500
141.91 19000
141.23 19500
140.53 20000
139.75 20500
139.04 21000
138.24 21500
137.15 22000
136.21 22500
135.23 23000
134.19 23500
133.11 24000
131.96 24500
130.74 25000
#=============================



# TAS for 2250 rpm at wide open throttle and LOP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
159.72  2500
159.30  3000
158.95  3500
158.67  4000
158.41  4500
158.15  5000
157.86  5500
157.60  6000
157.33  6500
157.06  7000
156.81  7500
156.46  8000
156.16  8500
155.86  9000
155.56  9500
155.26 10000
154.85 10500
154.51 11000
154.16 11500
153.81 12000
153.45 12500
152.98 13000
152.58 13500
152.17 14000
151.76 14500
151.32 15000
150.81 15500
150.34 16000
149.86 16500
149.37 17000
148.86 17500
148.33 18000
147.60 18500
146.98 19000
146.35 19500
145.69 20000
145.01 20500
143.02 21000
143.57 21500
142.57 22000
141.71 22500
140.81 23000
139.88 23500
138.90 24000
137.87 24500
136.78 25000
#=============================



# TAS for 2400 rpm at wide open throttle and LOP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
163.61  2500
163.47  3000
163.26  3500
163.07  4000
162.86  4500
162.65  5000
162.41  5500
162.17  6000
161.94  6500
161.71  7000
161.48  7500
161.08  8000
160.79  8500
160.48  9000
160.19  9500
159.89 10000
159.54 10500
159.22 11000
158.89 11500
158.56 12000
158.23 12500
157.78 13000
157.39 13500
157.01 14000
156.62 14500
156.22 15000
155.75 15500
155.31 16000
154.86 16500
154.40 17000
153.93 17500
153.45 18000
152.74 18500
152.17 19000
151.58 19500
150.97 20000
150.34 20500
149.69 21000
149.02 21500
148.85 22000
147.28 22500
146.46 23000
145.61 23500
144.72 24000
143.79 24500
142.81 25000
#=============================



# TAS for 2550 rpm at wide open throttle and LOP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
167.85  2500
167.74  3000
167.55  3500
167.37  4000
167.19  4500
167.01  5000
166.82  5500
166.59  6000
166.39  6500
166.19  7000
165.99  7500
165.55  8000
165.25  8500
164.96  9000
164.67  9500
164.38 10000
164.10 10500
163.81 11000
163.52 11500
163.22 12000
162.91 12500
162.50 13000
162.16 13500
161.81 14000
161.46 14500
161.11 15000
160.70 15500
160.31 16000
159.91 16500
159.51 17000
159.10 17500
158.68 18000
158.03 18500
157.51 19000
156.98 19500
156.44 20000
155.88 20500
155.31 21000
154.73 21500
153.88 22000
153.19 22500
153.74 23000
151.72 23500
150.95 24000
150.14 24500
149.31 25000
#=============================



# TAS for 2700 rpm at wide open throttle and LOP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
171.48  2500
171.38  3000
171.18  3500
171.00  4000
170.82  4500
170.64  5000
170.44  5500
170.25  6000
170.06  6500
169.86  7000
169.67  7500
169.14  8000
168.84  8500
168.53  9000
168.21  9500
167.91 10000
167.67 10500
167.38 11000
167.09 11500
166.79 12000
166.49 12500
166.08 13000
165.74 13500
165.39 14000
165.04 14500
164.69 15000
164.30 15500
163.91 16000
163.54 16500
163.14 17000
162.74 17500
162.33 18000
161.67 18500
161.17 19000
160.65 19500
160.11 20000
159.57 20500
159.00 21000
158.44 21500
157.60 22000
156.93 22500
156.23 23000
154.12 23500
154.75 24000
153.97 24500
153.16 25000
#=============================


