# TAS for 2100 rpm at wide open throttle and LOP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
155.46  2500
154.98  3000
154.58  3500
154.27  4000
153.98  4500
153.71  5000
153.37  5500
153.09  6000
152.80  6500
152.52  7000
152.24  7500
151.94  8000
151.65  8500
151.35  9000
151.05  9500
150.64 10000
150.28 10500
149.92 11000
149.56 11500
149.18 12000
148.81 12500
148.31 13000
147.89 13500
147.47 14000
147.02 14500
146.56 15000
146.01 15500
145.50 16000
144.99 16500
144.45 17000
# 143.90 17500
# 143.34 18000
# 142.57 18500
# 141.91 19000
# 141.23 19500
# 140.53 20000
# 139.75 20500
# 139.04 21000
# 138.24 21500
# 137.15 22000
# 136.21 22500
# 135.23 23000
# 134.19 23500
# 133.11 24000
# 131.96 24500
# 130.74 25000
#=============================



# TAS for 2250 rpm at wide open throttle and LOP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
# 159.72  2500
# 159.30  3000
158.95  3500
158.67  4000
158.41  4500
158.15  5000
157.86  5500
157.60  6000
157.33  6500
157.06  7000
156.81  7500
156.46  8000
156.16  8500
155.86  9000
155.56  9500
155.26 10000
154.85 10500
154.51 11000
154.16 11500
153.81 12000
153.45 12500
152.98 13000
152.58 13500
152.17 14000
151.76 14500
151.32 15000
150.81 15500
150.34 16000
149.86 16500
149.37 17000
148.86 17500
148.33 18000
147.60 18500
# 146.98 19000
# 146.35 19500
# 145.69 20000
# 145.01 20500
# # 143.02 21000
# 143.57 21500
# 142.57 22000
# 141.71 22500
# 140.81 23000
# 139.88 23500
# 138.90 24000
# 137.87 24500
# 136.78 25000
#=============================



# TAS for 2400 rpm at wide open throttle and LOP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
# 163.61  2500
# 163.47  3000
# 163.26  3500
# 163.07  4000
# 162.86  4500
162.65  5000
162.41  5500
162.17  6000
161.94  6500
161.71  7000
161.48  7500
161.08  8000
160.79  8500
160.48  9000
160.19  9500
159.89 10000
159.54 10500
159.22 11000
158.89 11500
158.56 12000
158.23 12500
157.78 13000
157.39 13500
157.01 14000
156.62 14500
156.22 15000
155.75 15500
155.31 16000
154.86 16500
154.40 17000
153.93 17500
153.45 18000
152.74 18500
152.17 19000
151.58 19500
150.97 20000
# 150.34 20500
# 149.69 21000
# 149.02 21500
# # 148.85 22000
# 147.28 22500
# 146.46 23000
# 145.61 23500
# 144.72 24000
# 143.79 24500
# 142.81 25000
#=============================



# TAS for 2550 rpm at wide open throttle and LOP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
# 167.85  2500
# 167.74  3000
# 167.55  3500
# 167.37  4000
# 167.19  4500
# 167.01  5000
# 166.82  5500
# 166.59  6000
# 166.39  6500
# 166.19  7000
165.99  7500
165.55  8000
165.25  8500
164.96  9000
164.67  9500
164.38 10000
164.10 10500
163.81 11000
163.52 11500
163.22 12000
162.91 12500
162.50 13000
162.16 13500
161.81 14000
161.46 14500
161.11 15000
160.70 15500
160.31 16000
159.91 16500
159.51 17000
159.10 17500
158.68 18000
158.03 18500
157.51 19000
156.98 19500
156.44 20000
# 155.88 20500
# 155.31 21000
# 154.73 21500
# 153.88 22000
# 153.19 22500
# # 153.74 23000
# 151.72 23500
# 150.95 24000
# 150.14 24500
# 149.31 25000
#=============================



# TAS for 2700 rpm at wide open throttle and LOP mixture
# Wheel Pants ON
# TAS     alt
#(kt)    (ft)
# 171.48  2500
# 171.38  3000
# 171.18  3500
# 171.00  4000
# 170.82  4500
# 170.64  5000
# 170.44  5500
# 170.25  6000
# 170.06  6500
# 169.86  7000
# 169.67  7500
# 169.14  8000
# 168.84  8500
168.53  9000
168.21  9500
167.91 10000
167.67 10500
167.38 11000
167.09 11500
166.79 12000
166.49 12500
166.08 13000
165.74 13500
165.39 14000
165.04 14500
164.69 15000
164.30 15500
163.91 16000
163.54 16500
163.14 17000
162.74 17500
162.33 18000
161.67 18500
161.17 19000
160.65 19500
160.11 20000
# 159.57 20500
# 159.00 21000
# 158.44 21500
# 157.60 22000
# 156.93 22500
# 156.23 23000
# # 154.12 23500
# 154.75 24000
# 153.97 24500
# 153.16 25000
#=============================


