
# TAS for 2100 rpm at wide open throttle and ROP mixture
# Wheel Pants OFF
# TAS     alt
#(kt)    (ft)
159.61  2500
159.14  3000
158.77  3500
158.49  4000
158.25  4500
158.01  5000
157.72  5500
157.48  6000
157.24  6500
157.00  7000
156.77  7500
156.52  8000
156.28  8500
156.04  9000
155.80  9500
155.56 10000
155.15 10500
154.86 11000
154.56 11500
154.26 12000
153.96 12500
153.55 13000
153.21 13500
152.87 14000
152.51 14500
152.16 15000
151.70 15500
151.30 16000
150.89 16500
150.48 17000
150.05 17500
149.62 18000
149.01 18500
148.50 19000
147.97 19500
147.43 20000
146.88 20500
146.31 21000
145.72 21500
144.89 22000
144.20 22500
143.48 23000
142.74 23500
141.97 24000
141.17 24500
140.33 25000
#=============================



# TAS for 2250 rpm at wide open throttle and ROP mixture
# Wheel Pants OFF
# TAS     alt
#(kt)    (ft)
163.96  2500
163.56  3000
163.24  3500
162.99  4000
162.77  4500
162.56  5000
162.30  5500
162.08  6000
161.86  6500
161.64  7000
161.43  7500
161.13  8000
160.88  8500
160.64  9000
160.40  9500
160.15 10000
159.80 10500
159.52 11000
159.24 11500
158.96 12000
158.67 12500
158.28 13000
157.96 13500
157.63 14000
157.30 14500
156.96 15000
156.54 15500
156.17 16000
155.79 16500
155.41 17000
155.01 17500
154.61 18000
154.02 18500
153.54 19000
153.05 19500
152.54 20000
152.03 20500
151.50 21000
150.95 21500
150.17 22000
149.53 22500
148.86 23000
148.18 23500
147.47 24000
146.74 24500
145.97 25000
#=============================



# TAS for 2400 rpm at wide open throttle and ROP mixture
# Wheel Pants OFF
# TAS     alt
#(kt)    (ft)
167.93  2500
167.82  3000
167.65  3500
167.49  4000
167.32  4500
167.16  5000
166.99  5500
166.76  6000
166.58  6500
166.39  7000
166.20  7500
165.86  8000
165.61  8500
165.37  9000
165.12  9500
164.88 10000
164.59 10500
164.32 11000
164.06 11500
163.79 12000
163.53 12500
163.16 13000
162.85 13500
162.54 14000
162.23 14500
161.91 15000
161.54 15500
161.19 16000
160.84 16500
160.49 17000
160.12 17500
159.75 18000
159.18 18500
158.73 19000
158.27 19500
157.80 20000
157.32 20500
156.83 21000
156.33 21500
155.59 22000
154.99 22500
154.38 23000
153.75 23500
153.09 24000
152.42 24500
151.72 25000
#=============================



# TAS for 2550 rpm at wide open throttle and ROP mixture
# Wheel Pants OFF
# TAS     alt
#(kt)    (ft)
172.28  2500
172.21  3000
172.06  3500
171.92  4000
171.77  4500
171.63  5000
171.48  5500
171.30  6000
171.14  6500
170.99  7000
170.83  7500
170.43  8000
170.20  8500
169.96  9000
169.72  9500
169.48 10000
169.26 10500
169.03 11000
168.79 11500
168.56 12000
168.32 12500
167.98 13000
167.71 13500
167.44 14000
167.17 14500
166.89 15000
166.56 15500
166.27 16000
165.96 16500
165.66 17000
165.34 17500
165.03 18000
164.70 18500
164.10 19000
163.70 19500
163.29 20000
162.87 20500
162.44 21000
162.00 21500
161.33 22000
160.81 22500
160.28 23000
159.73 23500
159.16 24000
158.58 24500
157.98 25000
#=============================



# TAS for 2700 rpm at wide open throttle and ROP mixture
# Wheel Pants OFF
# TAS     alt
#(kt)    (ft)
176.03  2500
175.97  3000
175.86  3500
175.68  4000
175.53  4500
175.39  5000
175.24  5500
175.08  6000
174.93  6500
174.78  7000
174.64  7500
174.17  8000
173.91  8500
173.66  9000
173.40  9500
173.14 10000
172.96 10500
172.73 11000
172.50 11500
172.27 12000
172.03 12500
171.70 13000
171.43 13500
171.16 14000
170.88 14500
170.61 15000
170.30 15500
170.01 16000
169.71 16500
169.42 17000
169.11 17500
168.81 18000
168.49 18500
167.88 19000
167.48 19500
167.08 20000
166.67 20500
166.24 21000
165.81 21500
165.16 22000
164.65 22500
164.12 23000
163.59 23500
163.03 24000
162.47 24500
161.88 25000
#=============================



# TAS for 2100 rpm at wide open throttle and LOP mixture
# Wheel Pants OFF
# TAS     alt
#(kt)    (ft)
151.46  2500
151.01  3000
150.63  3500
150.35  4000
150.07  4500
149.82  5000
149.50  5500
149.23  6000
148.96  6500
148.69  7000
148.44  7500
